Candidat;Durées cumulées sur la période;En % sur la période;
DUPONT AIGNAN NICOLAS;;;
Candidat;00:00:23;1.07%;
Soutiens;00:00:00;0.00%;
Total Temps de parole;00:00:23;0.95%;
Antenne;00:00:00;0.00%;
Total Temps d'antenne;00:00:23;0.95%;
FILLON FRANCOIS;;;
Candidat;00:03:06;8.66%;
Soutiens;00:00:00;0.00%;
Total Temps de parole;00:03:06;7.64%;
Antenne;00:00:00;0.00%;
Total Temps d'antenne;00:03:06;7.64%;
HAMON BENOIT;;;
Candidat;00:00:00;0.00%;
Soutiens;00:04:26;93.01%;
Total Temps de parole;00:04:26;10.93%;
Antenne;00:00:00;0.00%;
Total Temps d'antenne;00:04:26;10.93%;
MACRON EMMANUEL;;;
Candidat;00:00:00;0.00%;
Soutiens;00:00:20;6.99%;
Total Temps de parole;00:00:20;0.82%;
Antenne;00:00:00;0.00%;
Total Temps d'antenne;00:00:20;0.82%;
MORANDAIS JEAN;;;
Candidat;00:01:38;4.56%;
Soutiens;00:00:00;0.00%;
Total Temps de parole;00:01:38;4.03%;
Antenne;00:00:00;0.00%;
Total Temps d'antenne;00:01:38;4.03%;
TEMARU OSCAR;;;
Candidat;00:30:40;85.70%;
Soutiens;00:00:00;0.00%;
Total Temps de parole;00:30:40;75.63%;
Antenne;00:00:00;0.00%;
Total Temps d'antenne;00:30:40;75.63%;
Total candidats;;;
Candidat;00:35:47;100.00%;
Soutiens;00:04:46;100.00%;
Total Temps de parole;00:40:33;100.00%;
Antenne;00:00:00;0.00%;
Total Temps d'antenne;00:40:33;100.00%;
;;;
;;;
;;;
;;;
